Arp,Name,RAJ2000,DEJ2000,VT,dim1,dim2
275,NGC 2881,09 25 54.9,-12 00 01,14.1,,
275,NGC 2881,09 25 54.9,-11 59 01,13.3,1.1,0.9
237,UGC 05044,09 27 43.5,+12 17 14,15.3,,
237,UGC 05044,09 27 44.4,+12 17 17,16.0,0.4,0.2
300,UGC 05028,09 27 50.2,+68 24 47,13.9,0.7,0.4
300,UGC 05029,09 28 02.5,+68 25 17,13.4,1.6,1.0
207,UGC 05050,09 31 06.8,+76 27 56,15.4,1.2,0.2
232,NGC 2911,09 33 46.5,+10 09 08,11.5,4.1,3.2
137,NGC 2914,09 34 02.7,+10 06 31,13.2,1.0,0.7
221,MCG-02-25-006,09 36 27.8,-11 19 43,14.0,1.3,1.1
142,UGC 05130,09 37 43.1,+02 46 15,14.4,,
142,NGC 2936,09 37 44.1,+02 45 38,13.5,1.3,1.1
142,NGC 2937,09 37 45.0,+02 44 50,13.6,2.1,0.7
321,MCG-01-25-009,09 38 53.2,-04 51 34,13.8,1.1,0.3
321,MCG-01-25-008,09 38 53.5,-04 50 56,15.7,1.4,1.1
321,MCG-01-25-012,09 38 55.0,-04 51 58,15.1,1.1,0.7
321,MCG-01-25-011,09 38 55.4,-04 51 28,17.4,0.7,0.3
321,MCG-01-25-010,09 38 55.7,-04 50 14,15.0,0.9,0.4
63,NGC 2944,09 39 16.7,+32 18 38,14.0,1.1,0.4
63,NGC 2944,09 39 19.6,+32 18 21,16.0,0.2,0.1
129,UGC 05146,09 39 24.4,+32 21 45,14.0,0.5,
129,UGC 05146,09 39 26.3,+32 21 54,16.1,0.8,0.4
253,UGCA 173,09 43 24.3,-05 16 46,16.1,1.3,0.2
253,UGCA 174,09 43 30.3,-05 16 47,14.3,1.2,0.4
252,ESO 566-IG007,09 44 58.4,-19 43 32,15.3,0.8,0.5
252,ESO 566-IG008,09 44 59.6,-19 42 45,15.6,0.7,0.5
245,NGC 2992,09 45 42.0,-14 19 35,12.2,3.6,1.1
245,NGC 2993,09 45 48.5,-14 22 05,12.6,1.4,0.9
303,IC 0563,09 46 20.4,+03 02 41,14.7,0.9,0.5
303,IC 0564,09 46 21.1,+03 04 14,14.1,1.7,0.4
255,UGC 05304,09 53 08.7,+07 52 50,14.3,1.1,0.9
292,IC 0575,09 54 33.0,-06 51 27,13.2,1.7,1.2
337,MESSIER 82,09 55 51.6,+69 40 46,8.4,11.4,4.3
174,NGC 3068,09 58 40.1,+28 52 39,14.3,0.9,0.8
264,NGC 3104,10 03 57.3,+40 45 25,13.1,3.4,2.3
338,Arp 338,10 10 59.5,-07 54 54,,,
316,NGC 3187,10 17 48.0,+21 52 23,13.4,3.0,1.3
316,NGC 3189,10 18 06.1,+21 49 53,12.0,4.4,1.6
316,NGC 3193,10 18 25.0,+21 53 34,10.9,3.0,2.7
94,NGC 3226,10 23 26.9,+19 53 54,11.4,3.2,2.8
94,NGC 3227,10 23 30.6,+19 51 54,10.3,5.4,3.7
43,IC 0607,10 24 15.4,+16 44 36,13.2,1.8,1.5
263,NGC 3239,10 25 05.5,+17 09 35,11.4,5.0,3.3
44,IC 0609,10 25 32.7,-02 13 16,14.1,1.5,0.7
181,NGC 3212,10 28 16.5,+79 49 24,13.1,1.6,1.1
181,NGC 3215,10 28 41.8,+79 48 48,13.0,1.1,1.1
233,UGC 05720,10 32 32.0,+54 24 03,13.4,1.0,0.9
53,NGC 3290,10 35 17.2,-17 16 30,14.4,1.0,0.5
267,UGC 05764,10 36 42.6,+31 32 51,14.7,2.0,1.2
192,NGC 3303,10 36 59.6,+18 08 13,14.3,3.1,2.2
217,NGC 3310,10 38 46.1,+53 30 07,10.8,3.1,2.4
156,UGC 05814,10 42 38.0,+77 29 40,15.0,1.3,0.7
291,UGC 05832,10 42 48.7,+13 27 34,13.7,1.2,1.0
270,NGC 3395,10 49 49.8,+32 58 50,12.1,2.1,1.2
270,NGC 3396,10 49 56.0,+32 59 24,12.2,3.1,1.2
162,NGC 3414,10 51 16.2,+27 58 29,10.8,3.6,2.6
206,UGC 05983,10 52 17.0,+36 35 43,17.0,0.9,0.7
107,UGC 05984,10 52 18.3,+30 04 03,14.6,1.9,1.2
107,UGC 05984,10 52 21.3,+30 05 03,14.6,,
206,NGC 3432,10 52 31.4,+36 37 12,11.3,6.8,1.5
24,NGC 3445,10 54 36.4,+56 59 27,12.6,1.6,1.5
205,NGC 3448,10 54 39.0,+54 18 23,12.0,5.7,1.8
24,UGC 06021,10 54 45.4,+56 58 00,12.8,0.5,0.1
198,UGC 06073,10 59 45.4,+17 38 54,15.3,1.3,0.9
148,MCG+07-23-019,11 04 00.1,+40 50 49,15.4,0.6,0.5
335,NGC 3509,11 04 23.7,+04 49 49,12.7,2.1,1.0
21,CGCG 155-056,11 04 58.5,+30 01 37,14.7,0.8,0.7
191,UGC 06175,11 07 19.6,+18 25 47,14.6,1.3,0.7
191,UGC 06175,11 07 20.4,+18 25 52,14.7,0.3,0.2
301,UGC 06204,11 09 51.5,+24 15 44,14.5,0.8,0.4
301,UGC 06207,11 09 54.3,+24 15 25,14.6,1.5,0.2
105,UGC 06224,11 11 12.9,+28 42 42,14.7,0.9,
105,NGC 3561,11 11 13.1,+28 41 45,15.0,0.7,
317,MESSIER 65,11 18 55.2,+13 05 35,9.3,9.9,2.9
132,CGCG 011-053,11 19 21.1,-03 05 26,15.5,0.4,0.3
16,MESSIER 66,11 20 14.9,+12 59 21,8.9,9.1,4.2
317,NGC 3628,11 20 16.2,+13 35 22,9.5,14.8,3.0
27,NGC 3631,11 21 02.6,+53 10 16,10.4,5.0,4.8
155,ARP 155,11 23 36.8,+53 49 31,,,
155,ARP 155,11 23 38.1,+53 50 03,,,
155,NGC 3656,11 23 38.4,+53 50 30,12.5,1.6,1.6
5,NGC 3664,11 24 24.8,+03 19 39,12.8,2.1,1.9
151,MRK 0040,11 25 36.1,+54 22 57,16.8,1.3,0.2
296,MCG+10-17-5,11 28 49.3,+58 35 26,15.7,0.7,0.4
299,MCG+10-17-2A,11 28 28.5,+58 34 33,,0.3,0.2
299,NGC 3690,11 28 33.4,+58 33 47,11.5,2.1,1.6
299,IC 0694,11 28 37.4,+58 33 28,11.3,1.2,1.0
197,IC 0701,11 31 00.4,+20 28 13,14.6,1.0,0.6
203,NGC 3712,11 31 09.1,+28 34 04,13.9,1.7,0.6
329,UGC 06514,11 32 05.5,+70 48 23,16.6,,
329,UGC 06514,11 32 05.7,+70 48 39,17.4,,
329,UGC 06514,11 32 06.9,+70 49 17,17.6,,
329,UGC 06514,11 32 06.9,+70 48 55,15.9,,
329,UGC 06514,11 32 07.6,+70 49 08,18.0,,
322,UGC 06527,11 32 32.7,+52 56 22,16.4,,
322,UGC 06527,11 32 35.3,+52 56 50,17.0,,
214,NGC 3718,11 32 35.6,+53 03 59,10.7,8.2,4.0
322,UGC 06527,11 32 36.7,+52 56 51,15.8,,
322,UGC 06527,11 32 40.2,+52 57 01,15.0,1.1,0.3
234,NGC 3738,11 35 48.4,+54 31 28,11.9,2.5,1.9
320,NGC 3746,11 37 43.6,+22 00 33,14.2,1.1,0.5
280,NGC 3769,11 37 44.4,+47 53 28,11.8,3.1,1.0
320,NGC 3745,11 37 44.5,+22 01 15,15.2,0.4,0.2
320,NGC 3748,11 37 49.1,+22 01 33,14.8,0.7,0.4
280,NGC 3769A,11 37 50.3,+47 52 53,14.2,1.1,0.5
320,NGC 3750,11 37 51.6,+21 58 27,13.9,0.8,0.7
320,NGC 3753,11 37 53.7,+21 58 51,13.6,1.7,0.5
320,NGC 3751,11 37 54.1,+21 56 10,13.9,0.8,0.5
320,NGC 3754,11 37 55.1,+21 59 08,15.1,0.4,0.3
294,NGC 3786,11 39 42.5,+31 54 33,12.3,2.2,1.3
294,NGC 3788,11 39 44.6,+31 55 52,12.6,2.2,0.7
83,NGC 3799,11 40 09.4,+15 19 38,14.0,0.8,0.5
83,NGC 3800,11 40 13.2,+15 20 34,12.7,2.0,0.6
87,NGC 3808,11 40 44.1,+22 25 40,13.4,1.7,0.9
87,NGC 3808A,11 40 44.3,+22 26 51,11.5,0.6,0.2
161,UGC 06665,11 42 12.3,+00 20 03,14.7,0.4,0.4
115,UGC 06678B,11 42 54.4,+26 17 21,15.8,0.5,0.5
115,UGC 06678C,11 42 54.4,+26 17 21,15.9,0.5,0.5
115,UGC 06678A,11 43 02.9,+26 16 36,15.5,0.9,0.5
248,MCG-01-30-32,11 46 34.9,-03 51 19,14.5,1.2,0.6
248,MCG-01-30-33,11 46 44.9,-03 50 34,14.1,1.8,0.7
248,MCG-01-30-34,11 46 49.6,-03 49 01,15.0,1.0,0.7
224,NGC 3921,11 51 06.6,+55 04 45,12.4,2.1,1.3
62,UGC 06865,11 53 35.9,+43 27 18,,1.2,0.5
62,UGC 06865,11 53 35.9,+43 27 18,14.7,,
289,NGC 3981,11 56 07.2,-19 53 42,11.0,5.3,2.3
313,NGC 3994,11 57 36.7,+32 16 41,12.7,1.1,0.6
313,NGC 3995,11 57 44.8,+32 17 42,12.4,2.8,1.1
194,UGC 06945,11 57 52.5,+36 23 18,14.9,1.2,0.8
305,NGC 4016,11 58 29.2,+27 31 44,13.3,1.6,0.8
138,NGC 4015,11 58 42.7,+25 02 11,14.0,0.9,0.2
138,NGC 4015,11 58 43.3,+25 02 40,14.2,1.4,1.4
305,NGC 4017,11 58 45.6,+27 27 11,12.2,1.8,1.4
22,ESO 572-G036,11 59 29.5,-19 19 54,14.9,0.9,0.6
22,NGC 4027,11 59 30.5,-19 15 48,11.2,3.2,2.4
244,NGC 4038,12 01 52.8,-18 51 54,10.7,5.3,3.1
244,NGC 4039,12 01 53.8,-18 53 06,10.3,3.1,1.6
18,NGC 4088,12 05 35.3,+50 32 31,10.5,5.8,2.3
97,UGC 07085A,12 05 45.3,+31 03 35,15.6,2.7,1.0
97,UGC 07085A,12 05 45.5,+31 04 45,15.7,0.4,0.3
260,UGC 07230,12 13 38.7,+16 07 19,14.8,1.4,0.9
160,NGC 4194,12 14 10.1,+54 31 40,12.5,1.8,1.1
106,NGC 4211,12 15 35.9,+28 10 38,13.6,1.0,
106,NGC 4211A,12 15 36.5,+28 10 08,14.7,1.5,
120,NGC 4435,12 27 40.4,+13 04 44,10.9,2.8,2.0
120,NGC 4438,12 27 45.5,+13 00 31,10.1,8.6,3.2
134,MESSIER 49,12 29 46.4,+07 59 47,8.4,10.3,8.4
269,NGC 4485,12 30 31.2,+41 41 58,12.0,2.3,1.6
269,NGC 4490,12 30 36.8,+41 38 23,9.8,6.4,3.1
152,MESSIER 87,12 30 49.4,+12 23 28,8.6,8.4,6.7
175,IC 3481,12 32 52.2,+11 24 15,13.3,0.8,0.6
175,IC 3481A,12 32 56.7,+11 23 23,13.6,0.2,
175,IC 3483,12 33 10.8,+11 20 39,15.0,0.6,0.4
76,MESSIER 90,12 36 49.8,+13 09 46,9.5,9.7,4.4
211,MCG+07-26-033,12 37 19.3,+38 43 30,17.0,0.4,0.4
211,MCG+07-26-034,12 37 19.3,+38 43 30,16.0,0.6,0.6
149,IC 0803B,12 39 42.4,+16 35 32,16.0,0.8,0.1
149,IC 0803A,12 39 42.4,+16 35 32,16.0,,
23,NGC 4618,12 41 32.4,+41 09 02,10.8,4.2,3.4
34,NGC 4615,12 41 37.4,+26 04 20,13.1,1.6,0.7
281,NGC 4627,12 41 59.6,+32 34 25,12.3,2.6,1.8
281,NGC 4631,12 42 05.8,+32 32 22,9.3,15.5,2.7
116,NGC 4647,12 43 32.3,+11 34 55,11.4,2.9,2.3
116,MESSIER 60,12 43 39.6,+11 33 10,8.8,7.5,6.1
189,NGC 4651,12 43 42.6,+16 23 40,10.8,4.0,2.7
163,NGC 4670,12 45 17.0,+27 07 31,12.7,1.5,1.1
242,NGC 4676A,12 46 10.1,+30 44 00,13.0,2.3,0.7
242,NGC 4676B,12 46 11.2,+30 43 28,13.2,2.2,0.8
159,NGC 4747,12 51 45.4,+25 46 28,12.4,3.5,1.2
265,IC 3862,12 53 53.2,+36 05 10,16.0,1.3,0.6
277,NGC 4809,12 54 50.9,+02 39 12,13.7,1.8,0.9
277,NGC 4810,12 54 51.2,+02 38 25,13.0,1.9,0.8
266,NGC 4861,12 59 01.7,+34 51 39,12.3,4.0,1.5
176,NGC 4933A,13 03 54.3,-11 30 22,11.7,1.0,0.8
176,NGC 4933B,13 03 56.7,-11 29 53,12.7,1.8,1.1
176,NGC 4933C,13 03 58.4,-11 30 05,17.5,0.5,0.5
139,MCG+05-31-135,13 07 24.1,+26 42 59,15.8,1.0,0.3
139,MCG+05-31-135,13 07 27.7,+26 43 24,16.3,1.0,0.3
196,ARP 196,13 14 35.4,+26 07 09,18.8,,
196,ARP 196,13 14 37.5,+26 07 26,16.0,,
60,ARP 060,13 14 47.3,+26 05 09,16.3,,
