cat,name,ra,dec,size,bri
IC,2552,10h10m48s,-34d51m00s,1.8,2
IC,2553,10h09m18s,-62d37m00s,0.2,1
IC,2554,10h08m54s,-67d02m00s,2.7,2
IC,2555,10h11m42s,-31d39m00s,2.4,2
IC,2556,10h12m36s,-34d44m00s,2.1,2
IC,2557,10h16m06s,+38d05m00s,0.3,1
IC,2558,10h14m42s,-34d20m00s,1.6,2
IC,2559,10h14m48s,-34d04m00s,1.8,2
IC,2560,10h16m18s,-33d34m00s,4.1,2
IC,2561,10h19m06s,+34d40m00s,1.1,1
IC,2562,10h18m48s,+16d08m00s,0.6,1
IC,2563,10h18m54s,-32d36m00s,1.6,2
IC,2566,10h22m24s,+36d36m00s,0.7,1
IC,2567,10h22m00s,+24d39m00s,0.7,1
IC,2570,10h21m36s,-33d37m00s,1.3,2
IC,2571,10h21m36s,-34d16m00s,4.3,2
IC,2572,10h25m00s,+28d06m00s,1.0,1
IC,2573,10h23m30s,-35d27m00s,1.5,2
IC,2574,10h28m24s,+68d25m00s,12.3,2
IC,2577,10h28m00s,+32d46m00s,0.5,1
IC,2578,10h27m24s,-33d53m00s,1.4,2
IC,2580,10h28m18s,-31d31m00s,2.1,2
IC,2581,10h27m24s,-57d38m00s,8.0,3
IC,2582,10h29m12s,-30d21m00s,1.5,2
IC,2583,10h31m12s,+26d03m00s,0.3,1
IC,2584,10h29m54s,-34d55m00s,1.5,2
IC,2585,10h30m24s,-35d22m00s,2.7,2
IC,2586,10h31m00s,-28d43m00s,1.6,2
IC,2587,10h31m00s,-34d34m00s,2.4,2
IC,2588,10h31m48s,-30d23m00s,1.5,2
IC,2590,10h36m18s,+26d58m00s,1.1,1
IC,2591,10h36m36s,+35d02m00s,1.5,1
IC,2592,10h35m06s,-43d42m00s,1.9,2
IC,2594,10h36m06s,-24d19m00s,2.2,2
IC,2596,10h34m12s,-73d14m00s,1.4,2
IC,2597,10h37m48s,-27d05m00s,3.0,2
IC,2600,10h46m42s,+72d19m00s,0.4,1
IC,2602,10h43m12s,-64d24m00s,50.0,3
IC,2604,10h49m24s,+32d47m00s,1.4,2
IC,2607,10h50m18s,+38d00m00s,0.7,1
IC,2616,11h02m12s,+38d46m00s,0.2,1
IC,2617,11h02m12s,+38d39m00s,0.8,1
IC,2620,11h02m18s,+38d30m00s,1.1,1
IC,2621,11h00m18s,-65d15m00s,0.1,2
