name,ra,dec,size,mag
204,13h22m46s,+84d29m58s,0.8,16.4
205,10h54m39s,+54d18m23s,5.7,12.0
206,10h52m31s,+36d37m12s,6.8,11.3
206,10h52m17s,+36d35m43s,0.9,17.0
207,09h31m07s,+76d27m56s,1.2,15.4
208,16h51m03s,+47d13m15s,0.4,14.8
208,16h51m01s,+47d13m25s,0.4,15.0
209,16h05m13s,+20d32m33s,0.9,13.0
210,04h30m49s,+64d50m53s,3.7,11.0
211,12h37m19s,+38d43m30s,0.4,17.0
211,12h37m19s,+38d43m30s,0.6,16.0
212,23h20m30s,+17d13m32s,1.6,12.1
213,04h07m47s,+69d48m47s,5.3,10.5
214,11h32m36s,+53d03m59s,8.2,10.7
215,09h14m05s,+40d06m51s,3.5,11.7
216,23h29m04s,+03d32m00s,1.2,13.2
216,23h28m47s,+03d30m41s,1.4,12.9
217,10h38m46s,+53d30m07s,3.1,10.8
218,15h53m32s,+18d36m10s,0.9,15.4
219,03h39m52s,-02d06m48s,0.9,14.9
220,15h34m57s,+23d30m05s,1.8,13.1
220,15h34m57s,+23d30m16s,1.5,13.1
221,09h36m28s,-11d19m43s,1.3,14.0
222,23h39m54s,-12d17m31s,4.7,10.6
223,23h18m02s,-04d38m56s,2.3,11.4
224,11h51m07s,+55d04m45s,2.1,12.4
225,08h55m39s,+78d13m28s,4.9,10.1
226,22h20m45s,-24d40m43s,2.0,11.4
227,01h20m07s,+03d25m01s,7.1,11.5
227,01h19m45s,+03d24m37s,2.8,11.9
228,01h48m53s,+10d31m18s,1.6,13.7
229,01h23m41s,+33d16m51s,1.3,13.5
229,01h23m40s,+33d15m23s,3.1,14.1
230,00h46m24s,-13d26m32s,1.4,13.0
232,09h33m47s,+10d09m08s,4.1,11.5
233,10h32m32s,+54d24m03s,1.0,13.4
234,11h35m48s,+54d31m28s,2.5,11.9
235,00h08m46s,+15d48m56s,2.8,12.7
236,01h07m50s,-17d30m18s,0.7,15.5
236,01h07m48s,-17d30m24s,0.5,14.3
237,09h27m44s,+12d17m17s,0.4,16.0
238,13h15m35s,+62d07m26s,0.9,15.0
239,13h41m40s,+55d40m11s,1.4,12.7
239,13h41m44s,+55d40m22s,0.6,14.2
240,13h39m53s,+00d50m22s,1.8,12.9
240,13h39m58s,+00d49m55s,1.7,12.9
241,14h37m51s,+30d28m53s,1.1,15.0
242,12h46m11s,+30d43m28s,2.2,13.2
242,12h46m10s,+30d44m00s,2.3,13.0
243,08h38m24s,+25d45m01s,2.4,13.4
244,12h01m54s,-18d53m06s,3.1,10.3
244,12h01m53s,-18d51m54s,5.3,10.7
245,09h45m49s,-14d22m05s,1.4,12.6
245,09h45m42s,-14d19m35s,3.6,12.2
246,00h06m54s,+08d21m00s,0.7,14.3
246,00h06m51s,+08d21m05s,0.4,14.4
247,08h23m34s,+21d20m54s,1.1,15.4
247,08h23m33s,+21d20m17s,0.6,15.4
248,11h46m35s,-03d51m19s,1.2,14.5
248,11h46m45s,-03d50m34s,1.8,14.1
248,11h46m50s,-03d49m01s,1.0,15.0
249,00h00m22s,+22d59m42s,1.3,16.2
251,00h53m47s,-13d51m40s,0.9,15.5
252,09h45m00s,-19d42m45s,0.7,15.6
252,09h44m58s,-19d43m32s,0.8,15.3
253,09h43m24s,-05d16m46s,1.3,16.1
253,09h43m30s,-05d16m47s,1.2,14.3
254,15h21m32s,-07d22m38s,1.5,14.5
255,09h53m09s,+07d52m50s,1.1,14.3
